Charge [CH1]

 -11.945	 -11.339	0
 -11.339	 -10.732	0
 -10.732	 -10.126	0
 -10.126	  -9.519	0
  -9.519	  -8.913	0
  -8.913	  -8.306	0
  -8.306	  -7.700	0
  -7.700	  -7.093	0
  -7.093	  -6.487	0
  -6.487	  -5.880	0
  -5.880	  -5.274	0
  -5.274	  -4.667	0
  -4.667	  -4.061	0
  -4.061	  -3.454	0
  -3.454	  -2.848	0
  -2.848	  -2.241	0
  -2.241	  -1.635	0
  -1.635	  -1.028	0
  -1.028	  -0.421	0
  -0.421	   0.185	0
   0.185	   0.792	0
   0.792	   1.398	0
   1.398	   2.005	0
   2.005	   2.611	0
   2.611	   3.218	0
   3.218	   3.824	0
   3.824	   4.431	0
   4.431	   5.037	0
   5.037	   5.644	0
   5.644	   6.250	0
   6.250	   6.857	0
   6.857	   7.463	0
   7.463	   8.070	0
   8.070	   8.676	0
   8.676	   9.283	0
   9.283	   9.889	0
   9.889	  10.496	0


Charge [CH2]

 -46.899	 -80.483	18
 -80.483	 -79.876	1
 -79.876	 -79.270	0
 -79.270	 -78.663	0
 -78.663	 -78.057	1
 -78.057	 -77.450	0
 -77.450	 -76.844	1
 -76.844	 -76.237	0
 -76.237	 -75.631	0
 -75.631	 -75.024	1
 -75.024	 -74.418	0
 -74.418	 -73.811	1
 -73.811	 -73.205	1
 -73.205	 -72.598	0
 -72.598	 -71.992	0
 -71.992	 -71.385	4
 -71.385	 -70.779	1
 -70.779	 -70.172	3
 -70.172	 -69.565	1
 -69.565	 -68.959	2
 -68.959	 -68.352	2
 -68.352	 -67.746	4
 -67.746	 -67.139	3
 -67.139	 -66.533	2
 -66.533	 -65.926	1
 -65.926	 -65.320	4
 -65.320	 -64.713	4
 -64.713	 -64.107	9
 -64.107	 -63.500	8
 -63.500	 -62.894	7
 -62.894	 -62.287	6
 -62.287	 -61.681	13
 -61.681	 -61.074	13
 -61.074	 -60.468	17
 -60.468	 -59.861	19
 -59.861	 -59.255	27
 -59.255	 -58.648	31
 -58.648	 -58.041	46
 -58.041	 -57.435	37
 -57.435	 -56.828	56
 -56.828	 -56.222	72
 -56.222	 -55.615	74
 -55.615	 -55.009	83
 -55.009	 -54.402	104
 -54.402	 -53.796	96
 -53.796	 -53.189	131
 -53.189	 -52.583	158
 -52.583	 -51.976	161
 -51.976	 -51.370	187
 -51.370	 -50.763	189
 -50.763	 -50.157	190
 -50.157	 -49.550	209
 -49.550	 -48.944	254
 -48.944	 -48.337	261
 -48.337	 -47.731	267
 -47.731	 -47.124	291
 -47.124	 -46.517	324
 -46.517	 -45.911	324
 -45.911	 -45.304	327
 -45.304	 -44.698	347
 -44.698	 -44.091	332
 -44.091	 -43.485	351
 -43.485	 -42.878	371
 -42.878	 -42.272	375
 -42.272	 -41.665	347
 -41.665	 -41.059	388
 -41.059	 -40.452	340
 -40.452	 -39.846	286
 -39.846	 -39.239	321
 -39.239	 -38.633	301
 -38.633	 -38.026	266
 -38.026	 -37.420	255
 -37.420	 -36.813	261
 -36.813	 -36.207	194
 -36.207	 -35.600	192
 -35.600	 -34.993	157
 -34.993	 -34.387	141
 -34.387	 -33.780	130
 -33.780	 -33.174	79
 -33.174	 -32.567	92
 -32.567	 -31.961	58
 -31.961	 -31.354	63
 -31.354	 -30.748	43
 -30.748	 -30.141	43
 -30.141	 -29.535	27
 -29.535	 -28.928	28
 -28.928	 -28.322	18
 -28.322	 -27.715	17
 -27.715	 -27.109	15
 -27.109	 -26.502	6
 -26.502	 -25.896	7
 -25.896	 -25.289	7
 -25.289	 -24.683	7
 -24.683	 -24.076	13
 -24.076	 -23.469	10
 -23.469	 -22.863	6
 -22.863	 -22.256	8
 -22.256	 -21.650	6
 -21.650	 -21.043	10
 -21.043	 -20.437	5
 -20.437	 -19.830	5
 -19.830	 -19.224	6
 -19.224	 -18.617	8
 -18.617	 -18.011	2
 -18.011	 -17.404	2
 -17.404	 -16.798	5
 -16.798	 -16.191	3
 -16.191	 -15.585	0
 -15.585	 -14.978	0
 -14.978	 -14.372	0
 -14.372	 -13.765	0
 -13.765	 -13.159	0
 -13.159	 -12.552	0
 -12.552	 -11.945	0
 -11.945	 -11.339	0
 -11.339	 -10.732	0
 -10.732	 -10.126	0
 -10.126	  -9.519	0
  -9.519	  -8.913	0
  -8.913	  -8.306	0
  -8.306	  -7.700	0
  -7.700	  -7.093	0
  -7.093	  -6.487	0
  -6.487	  -5.880	0
  -5.880	  -5.274	0
  -5.274	  -4.667	0
  -4.667	  -4.061	0
  -4.061	  -3.454	0
  -3.454	  -2.848	0
  -2.848	  -2.241	0
  -2.241	  -1.635	0
  -1.635	  -1.028	0
  -1.028	  -0.421	0
  -0.421	   0.185	0
   0.185	   0.792	0
   0.792	   1.398	0
   1.398	   2.005	0
   2.005	   2.611	0
   2.611	   3.218	0
   3.218	   3.824	0
   3.824	   4.431	0
   4.431	   5.037	0
   5.037	   5.644	0
   5.644	   6.250	0
   6.250	   6.857	0
   6.857	   7.463	0
   7.463	   8.070	0
   8.070	   8.676	0
   8.676	   9.283	0
   9.283	   9.889	0
   9.889	  10.496	0


Chn delay [CH1]

  -6.864	 -80.483	117
 -80.483	 -79.876	0
 -79.876	 -79.270	0
 -79.270	 -78.663	0
 -78.663	 -78.057	0
 -78.057	 -77.450	0
 -77.450	 -76.844	0
 -76.844	 -76.237	0
 -76.237	 -75.631	0
 -75.631	 -75.024	0
 -75.024	 -74.418	0
 -74.418	 -73.811	0
 -73.811	 -73.205	0
 -73.205	 -72.598	0
 -72.598	 -71.992	0
 -71.992	 -71.385	0
 -71.385	 -70.779	0
 -70.779	 -70.172	0
 -70.172	 -69.565	0
 -69.565	 -68.959	0
 -68.959	 -68.352	0
 -68.352	 -67.746	0
 -67.746	 -67.139	0
 -67.139	 -66.533	0
 -66.533	 -65.926	0
 -65.926	 -65.320	0
 -65.320	 -64.713	0
 -64.713	 -64.107	0
 -64.107	 -63.500	0
 -63.500	 -62.894	0
 -62.894	 -62.287	0
 -62.287	 -61.681	0
 -61.681	 -61.074	0
 -61.074	 -60.468	0
 -60.468	 -59.861	0
 -59.861	 -59.255	0
 -59.255	 -58.648	0
 -58.648	 -58.041	0
 -58.041	 -57.435	0
 -57.435	 -56.828	0
 -56.828	 -56.222	0
 -56.222	 -55.615	0
 -55.615	 -55.009	0
 -55.009	 -54.402	0
 -54.402	 -53.796	0
 -53.796	 -53.189	0
 -53.189	 -52.583	0
 -52.583	 -51.976	1
 -51.976	 -51.370	1
 -51.370	 -50.763	1
 -50.763	 -50.157	0
 -50.157	 -49.550	0
 -49.550	 -48.944	0
 -48.944	 -48.337	0
 -48.337	 -47.731	0
 -47.731	 -47.124	0
 -47.124	 -46.517	0
 -46.517	 -45.911	0
 -45.911	 -45.304	0
 -45.304	 -44.698	0
 -44.698	 -44.091	0
 -44.091	 -43.485	0
 -43.485	 -42.878	0
 -42.878	 -42.272	0
 -42.272	 -41.665	0
 -41.665	 -41.059	0
 -41.059	 -40.452	0
 -40.452	 -39.846	1
 -39.846	 -39.239	0
 -39.239	 -38.633	0
 -38.633	 -38.026	0
 -38.026	 -37.420	0
 -37.420	 -36.813	0
 -36.813	 -36.207	1
 -36.207	 -35.600	0
 -35.600	 -34.993	1
 -34.993	 -34.387	1
 -34.387	 -33.780	0
 -33.780	 -33.174	0
 -33.174	 -32.567	0
 -32.567	 -31.961	0
 -31.961	 -31.354	0
 -31.354	 -30.748	0
 -30.748	 -30.141	0
 -30.141	 -29.535	0
 -29.535	 -28.928	1
 -28.928	 -28.322	0
 -28.322	 -27.715	1
 -27.715	 -27.109	0
 -27.109	 -26.502	0
 -26.502	 -25.896	1
 -25.896	 -25.289	1
 -25.289	 -24.683	0
 -24.683	 -24.076	0
 -24.076	 -23.469	0
 -23.469	 -22.863	1
 -22.863	 -22.256	0
 -22.256	 -21.650	0
 -21.650	 -21.043	0
 -21.043	 -20.437	0
 -20.437	 -19.830	1
 -19.830	 -19.224	0
 -19.224	 -18.617	0
 -18.617	 -18.011	0
 -18.011	 -17.404	0
 -17.404	 -16.798	1
 -16.798	 -16.191	2
 -16.191	 -15.585	0
 -15.585	 -14.978	0
 -14.978	 -14.372	1
 -14.372	 -13.765	1
 -13.765	 -13.159	0
 -13.159	 -12.552	0
 -12.552	 -11.945	1
 -11.945	 -11.339	3
 -11.339	 -10.732	8
 -10.732	 -10.126	35
 -10.126	  -9.519	62
  -9.519	  -8.913	137
  -8.913	  -8.306	267
  -8.306	  -7.700	765
  -7.700	  -7.093	2009
  -7.093	  -6.487	3374
  -6.487	  -5.880	2454
  -5.880	  -5.274	559
  -5.274	  -4.667	51
  -4.667	  -4.061	11
  -4.061	  -3.454	7
  -3.454	  -2.848	6
  -2.848	  -2.241	8
  -2.241	  -1.635	7
  -1.635	  -1.028	7
  -1.028	  -0.421	8
  -0.421	   0.185	6
   0.185	   0.792	11
   0.792	   1.398	9
   1.398	   2.005	8
   2.005	   2.611	5
   2.611	   3.218	9
   3.218	   3.824	9
   3.824	   4.431	5
   4.431	   5.037	9
   5.037	   5.644	6
   5.644	   6.250	5
   6.250	   6.857	3
   6.857	   7.463	0
   7.463	   8.070	0
   8.070	   8.676	0
   8.676	   9.283	0
   9.283	   9.889	0
   9.889	  10.496	0
   9.889	  25.639	1


Chn delay [CH2]



